STATION,ID,ELEV (FEET),LATITUDE    ,LONGITUDE   ,COUNTY   ,OPERATOR AGENCY
TULARE PRECIPITATION INDEX,6SI,0,36.287998,-118.702003   ,TULARE   ,CA Dept of Water Resources/DFM-Hydro-Water Supply Fcasting
SURPRISE VALLEY,,,,,,
CEDARVILLE,CDV,4670,41.533001,-120.167000   ,MODOC   ,"Southern California Edison Company, Big Creek"
FORT BIDWELL,FBW,4500,41.849998,-120.133003   ,MODOC   ,National Weather Service
SUSAN RIVER,,,,,,
DOYLE,DYL,4240,40.033001,-120.099998   ,LASSEN   ,National Weather Service
SUSANVILLE,SSN,4148,40.367001,-120.567001   ,LASSEN   ,CA Dept of Forestry and Fire Protection
TRUCKEE RIVER,,,,,,
SAGEHEN CREEK,SGH,6337,39.432999,-120.233002   ,NEVADA   ,National Weather Service
TRUCKEE RS (OBS),TKE,6020,39.333,-120.182999   ,NEVADA   ,US Forest Service
DONNER MEM ST PARK,DMS,5937,39.317001,-120.233002   ,NEVADA   ,National Weather Service
BOCA,BCA,5575,39.382999,-120.099998   ,NEVADA   ,National Weather Service
LAKE TAHOE,,,,,,
TAHOE CITY (NWS),TAC,6230,39.167,-120.133003   ,PLACER   ,National Weather Service
CARSON RIVER,,,,,,
GROVER HOT SPRINGS,GHS,5820,38.694,-119.817001   ,ALPINE   ,CA Dept of Parks and Recreation
MARKLEEVILLE,MKV,5530,38.700001,-119.782997   ,ALPINE   ,National Weather Service
WALKER RIVER,,,,,,
BODIE,BDE,8370,38.216999,-119.016998   ,MONO   ,National Weather Service
BRIDGEPORT,BPT,6650,38.271999,-119.289001   ,MONO   ,US Forest Service
BRIDGEPORT R S,BDG,6470,38.25,-119.233002   ,MONO   ,US Forest Service
MONO LAKE,,,,,,
ELLERY LAKE,ERY,9645,37.934967,-119.232201   ,MONO   ,CA Dept of Water Resources/DFM-Hydro-SMN
GEM LAKE,GLK,9054,37.751999,-119.139999   ,MONO   ,"Southern California Edison Company, Big Creek"
OWENS RIVER,,,,,,
LAKE SABRINA,SBN,9065,37.216999,-118.616997   ,INYO   ,"Southern California Edison Company, Big Creek"
CROOKED CREEK (LONG VALLEY),CRC,6800,37.583,-118.699997   ,MONO   ,City of Los Angeles; Dept of Water and Power
BISHOP,BIS,4140,37.349998,-118.400002   ,INYO   ,City of Los Angeles; Dept of Water and Power
INDEPENDENCE,IPN,3950,36.798,-118.204002   ,INYO   ,City of Los Angeles; Dept of Water and Power
COTTONWOOD GATES,CTT,3775,36.417,-118.032997   ,INYO   ,City of Los Angeles; Dept of Water and Power
HAIWEE,HWE,3774,36.137001,-117.947998   ,INYO   ,City of Los Angeles; Dept of Water and Power
SOUTH LAKE RESERVOIR,SKR,837,37.166019,-118.569542   ,INYO   ,"Southern California Edison Company, Bishop"
CHINA LAKE,,,,,,
CHINA LAKE ARMITAGE,CNL,2220,35.682999,-117.682999   ,KERN   ,National Weather Service
AMARGOSA RIVER,,,,,,
DEATH VALLEY,DTV,-194,36.466999,-116.866997   ,INYO   ,National Weather Service
MOJAVE DESERT,,,,,,
FAIRMONT RESERVOIR,FMT,3060,34.711777,-118.433464   ,LOS ANGELES   ,City of Los Angeles; Dept of Water and Power
LAKE PALMDALE,LPA,2980,34.537201,-118.101402   ,LOS ANGELES   ,Los Angeles County Fire Dept
MOJAVE RIVER,,,,,,
BARSTOW,BFS,2320,34.900002,-117.016998   ,SAN BERNARDINO   ,Mohave River Museum
COLORADO RIVER,,,,,,
TWENTYNINE PALMS,29P,1975,34.126999,-116.037003   ,SAN BERNARDINO   ,National Weather Service
NEEDLES,NDL,480,34.833,-114.599998   ,SAN BERNARDINO   ,National Weather Service
BLYTHE,BLY,390,33.617001,-114.717003   ,RIVERSIDE   ,CA Dept of Forestry and Fire Protection
IMPERIAL VALLEY,IMP,-64,32.849998,-115.570000   ,IMPERIAL   ,National Weather Service
WHITEWATER RIVER,,,,,,
PALM SPRINGS,PMS,425,33.833,-116.500000   ,RIVERSIDE   ,National Weather Service
